id,name,signup_date,last_login,age,income,country,email,phone,purchase_amount,preferred_contact,subscription,latitude,longitude,comments,product_codes,feedback_score,canceled,extra_json
68,José García,2022/11/01,Apr 25 2024 00:28:45,,"€73,677",united states,josé80@example.com,+44 5503 758997,$103.82,phone,Yes,64.514295,-25.562150,REF: 000123,"P818,P208,P146",4,Y,"{""ref"": 5166, ""promo"": ""B""}"
469,Charlie D'Amico,Jul 27 2021,2024-08-20,,"$18,920",united states,charlie51@company.co.uk,+1-411-761-4215,$105.93,,N,-79.587999,164.804328,N/A,"P590,P127,P961",5,no,"{""ref"": 9364, ""promo"": null}"
998,Mikhail NguyenSr,2023/04/13,16/11/2024,unknown,"$30,575",united states,mikhail34@mail.org,(921) 529-6458,$265.64,phone,Yes,-60.023068,175.023647,<script>alert('x')</script>,"P198,P544",1,no,"{""ref"": 1051, ""promo"": ""A""}"
433,Diana García,Sep 20 2021,never,unknown,"$25,509",united states,diana46@hotmail.com,0437 103 073,$69.86,Email,No,-52.073107,164.681287,N/A,"P667,P828,P119,P669",2,Y,"{""ref"": 3159, ""promo"": ""A""}"
456,Élodie Lopez,24/04/2022,28-Mar-2024,,"$47,296",Brazil,élodie4@mail.org,6815947470,$108.18,Phone,Yes,48.162173,-30.058405,Loved it 😊,"P108,P982",4,,"{""ref"": 9254, ""promo"": ""C""}"
597,李 NGUYEN,2025/11/28,2025/06/12,43,"$73,953",España,李18@gmail.com,,$-82.36,email,FALSE,-62.335612,26.138604,N/A,"P345,P552,P708,P903",5,no,"{""ref"": 8268, ""promo"": ""C""}"
733,O'Neil Smith,12-04-23,"07 Mar, 2025",unknown,"$63,276",United Kingdom,oneil76@mail.org,5371564153,$113.80,,,18.325212,29.425193,Great service!,"P318,P883,P338,P192",five,,"{""ref"": 2528, ""promo"": ""A""}"
144,José Brown,"10 Jun, 2021",22-Jul-2025,40,$64k,france,josé69@example.com,(289) 731-7912,$108.45,,Subscribed,-53.074865,-111.352421,   spaced out   ,"P638,P811,P594",4,,"{""ref"": 1599, ""promo"": ""B""}"
184,Anne-Marie Chen,2022-11-01,2024-12-26,47,"$44,056",United States,annemarie15@hotmail.com,181-439-6661,$77.52,email,N,-50.312482,-112.882226,REF: 000123,"P851,P103,P196",3,,"{""ref"": 4909, ""promo"": ""B""}"
836,Sara Khan,"26 Jun, 2021",Jun 17 2024,unknown,"$35,798",France,sara32@mail.org,+44 6481 105129,$95.18,E-mail,N,-94.506010,-54.596124,N/A,"P582,P609,P732,P629",1,Y,"{""ref"": 9080, ""promo"": ""A""}"
714,Diana D'Amico,12-30-24,never,unknown,"$38,457",France,diana79@company.co.uk,+1-045-398-0488,$122.40,Phone,1,-43.207532,8.797104,N/A,P856,4,N,"{""ref"": 2204, ""promo"": null}"
766,Élodie Brown,11-Feb-2022,2024/08/26,,"$35,858",United Kingdom,élodie70@company.co.uk,331-793-1347,$250.33,Phone,FALSE,-66.058236,-122.854765,Great service!,"P215,P921,",N/A,N,"{""ref"": 9170, ""promo"": null}"
282,Zoë Lopez,29-Oct-2025,27/05/2025 00:28:45,35,"$43,297",Germany,zoë71@company.co.uk,+44 3816 432126,$199.36,E-mail,TRUE,-75.434529,-34.927136,Great service!,"P529,P874",5,no,"{""ref"": 4504, ""promo"": ""A""}"
859,Élodie García,2023/04/25,11-17-24,48 yrs,"$70,704",Brasil,élodie95@mail.org,9641135076,$97.60,,TRUE,-60.210041,74.377486,N/A,P141,3,no,"{""ref"": 6147, ""promo"": ""A""}"
413,José O'Reilly,28/01/2022 00:28:45,never,unknown,"$59,638",france,josé20 at mail.org,7551545260,$163.70,Phone,N,-20.842792,-165.961435,Loved it 😊,"P130,",3,N,"{""ref"": 4497, ""promo"": ""B""}"
545,Sara Smith,06-07-24 00:28:45,03-13-25,,"$44,694",Brazil,sara87@company.co.uk,5932135961,$33.19,phone,,2.701019,12.799373,Great service!,P259,3,,"{""ref"": 9115, ""promo"": ""B""}"
978,Zoë O'Reilly,20-May-2023,Oct 15 2025,,"$70,517",United States,zoë6@hotmail.com,+44 1745 741791,"$7,376.63",Email,Yes,0.111516,148.242640,no comment,"P344,P160",1,yes,"{""ref"": 9971, ""promo"": ""A""}"
194,Anne-Marie Nguyen,02-Dec-2023,06-Feb-2025,,"$55,822",Brazil,annemarie95@mail.org,037-710-7044,$131.74,,FALSE,87.662972,-29.678606,N/A,"P554,P145,P329,P310",3,Y,"{""ref"": 9872, ""promo"": ""C""}"
897,Charlie Brown,10/09/2022,2023/12/13,,"$56,567",España,charlie37@hotmail.com,(667) 622-6761,$196.62,—,0,-62.686276,35.210885,<script>alert('x')</script>,"P841,P874,P274",3,N,"{""ref"": 7000, ""promo"": ""C""}"
668,Charlie Lopez,"18 Jun, 2021 00:28:45",26/10/2024,unknown,"$22,138",Uk,charlie88@company.co.uk,0440 375 353,$145.73,—,Y,0.436912,83.335089,,"P524,P562,P950",,Y,"{""ref"": 7048, ""promo"": null}"
775,José O'Reilly,24/11/2021,never,42,"($61,291)",Uk,josé48 at gmail.com,4558048294x99,$138.33,—,Subscribed,70.318522,34.900280,<script>alert('x')</script>,P988|P850,2,,"{""ref"": 6917, ""promo"": null}"
702,O'Neil García,2021-09-19,Nov 20 2024,unknown,"$38,828",Australia,,0410 728 394,$219.97,Phone,Y,-3.864893,154.389438,no comment,"P724,P814,P754",2,Y,"{""ref"": 7469, ""promo"": ""B""}"
72,Anne-Marie D'Amico,2024/09/22,Jun 07 2024,,"$75,602",Australia,annemarie15@company.co.uk,0458 877 043,$170.27,Email,,9999,9999,Loved it 😊,"P955,P206,P310,P650",4,,"{""ref"": 2181, ""promo"": ""B""}"
415,Sara Johnson,"26 Feb, 2024",2024/04/10,85,$99k,france,sara65 at company.co.uk,9550493266,$164.87,E-mail,TRUE,-69.094987,164.130778,no comment,"P835,P661",1,,"{""ref"": 2709, ""promo"": ""C""}"
69,李 Nguyen,11-26-21,2024-04-09,unknown,,España,李56@mail.org,922-169-9586,$224.44,,0,-32.391072,142.388362,,"P241,P522",5,yes,"{""ref"": 4560, ""promo"": ""B""}"
734,Zoë Brown,02/08/2022,05/10/2025,unknown,"$17,933",DEU,zoë48@mail.org,+44 2474 246847,$38.08,,0,-67.171676,-38.972718,Great service!,"P833,P324,P493",1,N,"{""ref"": 1396, ""promo"": null}"
574,Alice Khan,05-22-21 00:28:45,2024-01-10,87,"€105,232",AUS,alice89@hotmail.com,0306951657,$102.56,Phone,Subscribed,9999,9999,no comment,"P984,P784",5,,"{""ref"": 4631, ""promo"": ""B""}"
744,Bob O'Reilly,10/06/2023,March 11 2024,43,"$44,816",Uk,bob66@gmail.com,0719129433,$113.82,Phone,1,57.687765,117.482692,Loved it 😊,"P425,P130,P180",1,Y,"{""ref"": 2864, ""promo"": ""C""}"
311,李 García,09/11/2022,06-27-24,,"$53,079",Brazil,李65@mail.org,+44 8839 062467,$144.59,Phone,TRUE,113.740898,-38.536778,no comment,P407,2,yes,"{""ref"": 3674, ""promo"": ""B""}"
67,Élodie D'Amico,2023/07/23,2025-06-22,unknown,"$75,259",Brasil,élodie15@company.co.uk,+1-899-358-8916,$118.33,,Y,-23.036745,99.508666,Great service!,P758,4,N,"{""ref"": 2226, ""promo"": null}"
310,Bob O'Reilly,06-11-25,never,56,"$33,879",España,bob75@company.co.uk,(314) 196-1560,$-37.31,phone,0,-10.907102,40.658250,   spaced out   ,P897,4,N,"{""ref"": 5798, ""promo"": ""A""}"
727,Alice D'Amico,2025/03/19 00:28:45,07/10/2025,,"$53,932",Germany,alice37@company.co.uk,+1-649-506-0541,$37.89,Phone,N,31.619322,-37.462599,REF: 000123,"P860,P908,P347,P747",5,,"{""ref"": 1745, ""promo"": null}"
38,O'Neil Smith,28-Feb-2025,Nov 06 2024,unknown,"$80,551",United States,oneil39@company.co.uk,375-243-1069,$271.74,Phone,unsubscribed,-73.138542N,-47.622311E,Great service!,"P858,P145",1,N,"{""ref"": 9255, ""promo"": ""C""}"
643,Alice Smith,02-18-25,09-02-24,unknown,"€79,435",United Kingdom,alice54@hotmail.com,(684) 154-6351,$157.33,Phone,Subscribed,72.784759,114.266825,,"P682,P790,P495,P467",4,yes,"{""ref"": 7747, ""promo"": ""A""}"
347,José O'Reilly,N/A,null,27,"$62,153",United States,josé55@hotmail.com,(302) 453-0123,$34.23,phone,Yes,-60.160583,160.451333,<script>alert('x')</script>,P230,5,,"{""ref"": 1268, ""promo"": ""A""}"
214,Diana Khan,"15 Jan, 2023",05/08/2024,39,,AUS,,+44 2447 951330,$-43.34,,unsubscribed,-74.184030,-53.774305,   spaced out   ,"P587,P671,P112,P451",4,,"{""ref"": 9175, ""promo"": ""B""}"
210,O'Neil Khan,"25 Mar, 2022",24/11/2025,unknown,81016 USD,Spain,oneil76@mail.org,459-576-4038,$67.79,Email,Y,-34.134847,-16.120746,REF: 000123,"P681,P869",1,Y,"{""ref"": 6067, ""promo"": ""B""}"
100,Diana O'Reilly,Nov 19 2023,Jan 04 2025,47,"$46,743",united states,diana84@gmail.com,+44 3938 276153,$56.57,—,Subscribed,-58.138113,-148.067088,<script>alert('x')</script>,P857,5,,"{""ref"": 8584, ""promo"": ""C""}"
894,Zoë Khan,"25 May, 2025","31 May, 2025",46,"$52,643",Australia,zoë40@hotmail.com,+1-972-040-9324,$228.53,Email,Yes,66.516061,-114.963285,no comment,"P330,P214,P485,P297",5,,"{""ref"": 9158, ""promo"": ""B""}"
992,Bob Brown,2022/11/16,never,unknown,$94k,Australia,bob15@gmail.com,0459 491 926,$187.15,,,-43.712577,78.979736,REF: 000123,P385,3,Y,"{""ref"": 1010, ""promo"": ""A""}"
200,Anne-Marie O'Reilly,"04 Dec, 2020",19/11/2024,unknown,$89k,España,annemarie16@company.co.uk,415-131-5285,$-1.85,—,Yes,-81.766434,133.753250,   spaced out   ,"P961,P671",N/A,N,"{""ref"": 3242, ""promo"": null}"
165,Élodie Nguyen,2023/04/07,23-May-2025,31 yrs,"$63,050",AUS,élodie90@hotmail.com,+44 0414 545635,"$32,480.68",—,N,-29.836100,97.528393,REF: 000123,P541,3,Y,"{""ref"": 2587, ""promo"": ""A""}"
997,O'Neil Smith,"12 Jul, 2021 00:28:45",Aug 05 2024,,"$52,520",Germany,,+44 7265 581326,$184.71,,Yes,9999,9999,<script>alert('x')</script>,"P307,P761",1,Y,"{""ref"": 3720, ""promo"": ""C""}"
812,Mikhail García,2024/01/13,"14 Feb, 2024",unknown,"$79,829",France,mikhail3@company.co.uk,(660) 309-8051,$110.24,phone,TRUE,-27.896969,-160.296226,N/A,P809,2,yes,"{""ref"": 8982, ""promo"": ""B""}"
903,Élodie Khan,2025/01/15,never,unknown,"$88,194",Germany,élodie1@hotmail.com,633-523-1754,$126.89,phone,Y,135.989786,-14.910430,Great service!,"P192,P806,P311,P730",5,no,"{""ref"": 8366, ""promo"": null}"
993,alice JOHNSON,16/08/2023,11-04-24,,"$52,488",Germany,alice58@mail.org,0480 345 948,$39.55,E-mail,Yes,58.140643,-95.388732,no comment,P105,1,,"{""ref"": 9778, ""promo"": ""B""}"
227,Charlie Brown,2022/09/03,14-Oct-2025,unknown,"$94,502",france,charlie28@company.co.uk,(855) 245-7871,$69.95,—,TRUE,38.848494,147.251707,<script>alert('x')</script>,P332,3,N,"{""ref"": 6695, ""promo"": ""C""}"
846,Mikhail Smith,15/07/2021,17/12/2024,42,"$58,398",France,mikhail97@mail.org,(364) 220-9470,$162.90,phone,unsubscribed,-1.971288,-53.406046,Great service!,P675,5,N,"{""ref"": 8311, ""promo"": ""A""}"
446,李 Brown,Feb 23 2021,2024/06/02,32,"$42,632",Spain,李4@company.co.uk,(267) 351-2724,$87.26,,0,23.320385,-160.440467,   spaced out   ,"P728,P580,P520,P366",2,N,"{""ref"": 5565, ""promo"": ""C""}"
138,Anne-Marie D'Amico,null,11-13-25,unknown,$56k,France,annemarie19@example.com,+44 8700 794200,$85.85,,0,54.513621,-178.332472,Loved it 😊,"P146,P265,P856",N/A,N,"{""ref"": 5578, ""promo"": null}"
428,Charlie O'Reilly,02-24-21,05-21-24 00:28:45,,"$6,608",DEU,charlie62@hotmail.com,+1-473-314-5461,$371.02,—,No,13.910225,131.607772,,"P703,P943,P424,P318,",1,yes,"{""ref"": 1228, ""promo"": ""C""}"
198,Bob Brown,28-May-2023,31/05/2024,33,$57k,AUS,bob19@mail.org,702-164-8712,$142.32,Phone,Y,23.871941,155.530118,N/A,"P462,P230,P511,P813",3,,"{""ref"": 2765, ""promo"": ""A""}"
568,Élodie O'Reilly,11-May-2022,2024/08/10,26 yrs,"$76,288",Spain,élodie11@gmail.com.,+44 8606 734767,$28.99,,N,-2.881914,-178.087149,   spaced out   ,"P848,",2,yes,"{""ref"": 3402, ""promo"": null}"
21,Mikhail Lopez,2025-09-30,never,,"$51,808",AUS,mikhail68@example.com,1836736576,$88.63,—,Y,57.242658,129.863010,,P193,no score,N,"{""ref"": 1982, ""promo"": ""C""}"
689,josé NGUYEN,2022-05-12,06-24-25,unknown,"$42,634",Brasil,josé20@company.co.uk,+1-763-506-4272,$27.65,Phone,FALSE,32.345499,-159.595044,N/A,"P507,P238,P985,P271",3,yes,"{""ref"": 5039, ""promo"": ""A""}"
927,José Khan,03-26-21,"09 Mar, 2024",27,"$95,612",Spain,josé31@hotmail.com.,+1-275-076-9769,$112.66,E-mail,0,-18.993710,132.141666,N/A,P219,2,Y,"{""ref"": 9158, ""promo"": ""C""}"
206,Anne-Marie Chen,"18 Apr, 2023",2024-02-28,70,"$28,711",united states,annemarie36@hotmail.com,,$235.50,email,Y,65.584485,-9.644434,Great service!,"P179,P153,P240",3,yes,"{""ref"": 9198, ""promo"": ""A""}"
454,Sara JohnsonSr,12-Dec-2021,never,67,"$75,394",DEU,sara29@example.com,+44 1921 496791,$216.31,,,-81.326518,-50.381832,REF: 000123,"P931,P259,",4,,"{""ref"": 3272, ""promo"": null}"
600,José O'ReillyJr,2025/06/16,2024-01-29,unknown,"$31,734",Germany,josé73@mail.org,3279042338,$169.82,Phone,FALSE,65.339430N,138.993637E,   spaced out   ,"P229,P717",3,,"{""ref"": 7658, ""promo"": ""C""}"
866,Zoë O'Reilly,18/11/2023,14-Jun-2024 00:28:45,49,"$94,064",USA,zoë51@example.com,399-702-1461,$251.25,,,-1.838544,10.316377,Great service!,"P725,P977",3,yes,"{""ref"": 5812, ""promo"": ""A""}"
213,O'Neil BrownJr.,01-27-22,N/A,,$31k,España,oneil23@gmail.com,+44 6457 938970,$240.27,Phone,TRUE,10.736763,-176.482495,no comment,P752|P867|P409,3,,"{""ref"": 2298, ""promo"": null}"
318,Élodie García,11-27-23,2024/11/27 00:28:45,,"$54,774",USA,élodie65@mail.org,0499 698 829,$51.96,email,FALSE,54.012774,-106.547172,,"P359,P485",5,,"{""ref"": 7247, ""promo"": ""C""}"
889,Zoë Brown,02/10/2024 00:28:45,2024-09-06,65,"$12,208",United States,zoë93@gmail.com,+1-822-044-8435,$224.89,Phone,TRUE,69.342998,-148.785636,   spaced out   ,"P214,P922,P877,P135",3,,"{""ref"": 1279, ""promo"": ""A""}"
16,Charlie Chen,12-19-21,Jul 07 2025,,"$69,034",United Kingdom,charlie75@company.co.uk,(886) 753-3963,$243.04,,TRUE,48.774092,-2.233585,<script>alert('x')</script>,"P137,P229,P614,P704",1,,"{""ref"": 8486, ""promo"": ""A""}"
661,Sara Khan,30-May-2021,09/01/2024 00:28:45,27,"€43,543",USA,sara81@mail.org,0480 210 936,$156.28,,FALSE,84.807163,22.387972,N/A,"P883,P567,P486",1,N,"{""ref"": 5099, ""promo"": ""A""}"
533,Sara García,2024/01/06,2025-09-04,32,"$66,587",Brasil,sara76@gmail.com.,0480 971 861,$143.54,email,unsubscribed,42.970167,-175.051601,Loved it 😊,"P819,P436,P808",2,Y,"{""ref"": 6340, ""promo"": ""C""}"
440,alice O'REILLY,2025-07-06,30/12/2024,,"$19,811",Brazil,alice11@mail.org,+44 3578 037891,$58.98,,1,-48.170822,-78.838380,Loved it 😊,"P710,P689,P114,P426",4,yes,"{""ref"": 6014, ""promo"": ""A""}"
243,élodie LOPEZ,19/02/2024 00:28:45,09-15-24 00:28:45,,,Germany,élodie80@gmail.com.,766-046-5586,$171.10,phone,FALSE,-19.104407,54.443872,no comment,"P787,P186,P924,P782",1,N,"{""ref"": 2753, ""promo"": ""B""}"
622,,"06 Sep, 2021",06-08-25,,"€89,493",España,user at domain.com,+44 7186 442624,$135.53,,FALSE,9999,9999,Great service!,P614,2,yes,"{""ref"": 8589, ""promo"": ""A""}"
8,Zoë Nguyen,"29 Nov, 2025",16/01/2024,58,"$80,563",Brazil,zoë54@company.co.uk,(680) 443-6995,$22.33,email,,9999,9999,   spaced out   ,P938,2,N,"{""ref"": 1400, ""promo"": ""A""}"
654,Diana García,17/01/2022 00:28:45,16/12/2024,21,"€12,304",United Kingdom,diana47@gmail.com,442-111-7549,$51.17,email,No,-80.937085,-161.004507,REF: 000123,"P976,P740",3,Y,"{""ref"": 3644, ""promo"": ""A""}"
463,Bob García,10-Sep-2025,2025-08-28,61,"€79,615",Spain,bob61@hotmail.com,746-121-5756,$118.46,E-mail,No,83.429863,6.851621,N/A,P626,4,no,"{""ref"": 3617, ""promo"": ""A""}"
401,Sara García,09/11/2022,"23 Mar, 2025",unknown,$65k,AUS,sara78@mail.org,594-972-2042,$196.25,email,Yes,40.315150,-136.598970,N/A,P564,2,yes,"{""ref"": 7176, ""promo"": ""B""}"
233,Sara O'Reilly,25/12/2021,2024/07/01,45,"$49,297",france,sara76@company.co.uk,+44 8057 215149,$240.06,,Y,-59.932457,-119.657082,Loved it 😊,"P417,P651,P813,P790",5,no,"{""ref"": 3363, ""promo"": ""C""}"
281,Charlie Khan,Apr 23 2024,"10 Feb, 2025",41,,Untied States,charlie34@hotmail.com,8482669136,$193.53,Email,0,66.250204,110.133144,<script>alert('x')</script>,"P847,P142,P665,P831,",4,N,"{""ref"": 4938, ""promo"": null}"
312,Bob Nguyen,12-02-25,2024-06-27,37,"$55,821",United States,bob90@example.com,+1-771-824-9898,$142.61,,FALSE,45.907547,-14.205781,<script>alert('x')</script>,P378,1,N,"{""ref"": 6348, ""promo"": ""B""}"
503,Bob Lopez,May 11 2023,04-17-25,unknown,"$66,255",AUS,bob93@company.co.uk,(510) 484-8094,$279.65,Phone,Subscribed,-23.529461,155.852951,   spaced out   ,"P120,P977,P449,P965",5,yes,"{""ref"": 5897, ""promo"": null}"
850,Diana Nguyen,10/11/2021,2025/01/29,24,"$101,726",united states,diana62@gmail.com,(832) 014-3545,$44.60,,unsubscribed,-8.936931,89.626734,Loved it 😊,"P612,P543,P340,P529",3,,"{""ref"": 6069, ""promo"": ""A""}"
929,Diana D'Amico,25-Jul-2025,2024/07/06,44,"$10,111",Spain,diana78@mail.org,028 405 2185 ext.123,$30.30,Phone,unsubscribed,42.565171,-161.403351,N/A,P368,5,,"{""ref"": 7898, ""promo"": ""C""}"
356,Charlie Khan,2024-03-19,never,29,"$48,816",united states,charlie25@mail.org,+44 3478 536988,$222.48,E-mail,1,74.716212,11.890392,<script>alert('x')</script>,"P996,P110,P434,P275",five,N,"{""ref"": 8515, ""promo"": ""A""}"
232,Sara Johnson,2022/07/27,22/10/2024,,"$61,920",Uk,sara29@hotmail.com,043-097-7688,$17.36,,,-29.339428,118.398012,N/A,"P823,P915,P472",2,yes,"{""ref"": 9853, ""promo"": ""C""}"
815,Anne-Marie Lopez,15/03/2022,17-Dec-2023,,$64k,France,annemarie87@company.co.uk,+1-298-358-4480,$234.31,,FALSE,39.369260,-140.182704,   spaced out   ,"P762,P613,P446,P299",1,,"{""ref"": 8387, ""promo"": ""C""}"
607,Sara Khan,06-14-21,Oct 14 2025,28,"$27,597",Brazil,sara37@company.co.uk,0495 843 835,$83.51,—,Y,-52.108751,111.248511,no comment,"P163,P813",1,N,"{""ref"": 7250, ""promo"": null}"
557,Zoë Khan,—,"16 Oct, 2024",unknown,"€83,106",Brasil,zoë88@example.com,0471 408 633,$38.89,,0,19.014820,-137.806594,,"P392,P812,P654",2,N,"{""ref"": 8669, ""promo"": ""C""}"
242,Zoë D'Amico,2023/04/16,23/01/2024,45,$65k,España,zoë47@company.co.uk,+44 9551 512294,$204.05,phone,,-84.530329,155.141530,no comment,"P717,P918,P606,",4,N,"{""ref"": 6983, ""promo"": ""C""}"
459,O'Neil Lopez,May 03 2022,08/04/2024 00:28:45,,"€37,448",United Kingdom,oneil97@gmail.com,233-693-1806,$50.43,phone,Yes,26.069869,-37.752873,REF: 000123,"P494,P766",5,no,"{""ref"": 6955, ""promo"": ""B""}"
642,Mikhail Johnson,13-Jun-2025,29-Oct-2025,,"$62,130",United Kingdom,mikhail21@mail.org,200-722-7683,$-119.29,,Subscribed,-45.601449,-10.454309,,P157,3,N,"{""ref"": 1647, ""promo"": ""A""}"
981,Mikhail Lopez,Mar 18 2021 00:28:45,never,unknown,$26k,Australia,mikhail57@mail.org,+1-229-557-6930,$-6.69,,unsubscribed,74.752189,-84.353197,no comment,P527,3,,"{""ref"": 5620, ""promo"": ""B""}"
858,José Johnson,23-Nov-2021,12/07/2025 00:28:45,34,"$45,075",USA,josé83@company.co.uk,3420457813,$-71.22,—,N,9999,9999,Great service!,"P387,P970,",N/A,Y,"{""ref"": 4455, ""promo"": ""A""}"
544,Mikhail Khan,14/04/2022 00:28:45,Apr 30 2025,,"$79,759",Spain,mikhail97@company.co.uk,+44 6816 085571,$147.20,—,Subscribed,56.542623,66.648352,N/A,P381,2,yes,"{""ref"": 9246, ""promo"": null}"
452,,—,2025/07/27,unknown,$-970,Brazil,@missing.com,786-309-0071,$109.26,email,N,23.888138,73.388553,REF: 000123,"P321,P794,P153,P457",4,no,"{""ref"": 2539, ""promo"": null}"
578,sara D'AMICO,2024/02/14,Sep 29 2025,unknown,"$30,610",Brazil,sara53@gmail.com,(232) 210-9129,$48.39,E-mail,,-55.633215,70.070745,REF: 000123,P926,2,yes,"{""ref"": 4224, ""promo"": null}"
346,Élodie O'Reilly,2022/02/28,null,57,"$70,720",Spain,élodie84@example.com,(690) 217-7417,$175.45,Email,Y,-77.819695,74.820635,   spaced out   ,P267,4,no,"{""ref"": 6543, ""promo"": ""B""}"
884,josé CHEN,"06 Apr, 2025",2024/03/29,,$84k,france,josé43@company.co.uk,+44 4697 950804,"$10,103.90",,N,26.762932,143.729611,<script>alert('x')</script>,"P132,P833,P402",1,,"{""ref"": 3666, ""promo"": ""A""}"
543,李 Lopez,Jul 29 2022,2024-01-17,,144135.0 AUD,USA,李7@hotmail.com,3920102975,$19.48,—,,-61.291393,-122.233459,N/A,"P709,P987,P866",2,yes,"{""ref"": 3479, ""promo"": null}"
958,O'Neil O'Reilly,20-Nov-2023,2024-02-01,25,"$87,001",España,oneil88@company.co.uk,,$195.42,phone,0,60.548144,170.798152,,"P923,P519",3,no,"{""ref"": 7898, ""promo"": ""A""}"
441,Élodie O'Reilly,Mar 30 2021,30/11/2024,,"$55,154",United States,élodie41@hotmail.com,8149802530,$98.84,email,,-49.314780,50.571375,N/A,"P375,P408,P570",3,Y,"{""ref"": 9708, ""promo"": ""C""}"
240,José Nguyen,Dec 10 2024,never,unknown,"$44,405",Uk,josé54@company.co.uk,+44 5556 283333,$273.12,—,FALSE,66.265606,-116.226076,N/A,"P759,P414,P318",4,yes,"{""ref"": 7752, ""promo"": ""A""}"
102,O'Neil O'Reilly,26-Nov-2023,2025-11-21,unknown,"$42,506",USA,oneil55@mail.org,+44 9097 384689,$137.12,Phone,unsubscribed,67.244152,151.514064,no comment,"P847,P848",3,no,"{""ref"": 9469, ""promo"": ""A""}"
745,José D'Amico,2021-01-05,2025/09/26,73,,Brasil,josé1@hotmail.com,+44 3733 970101,$140.21,Phone,Subscribed,58.667816,47.325165,<script>alert('x')</script>,P843|P793,N/A,N,"{""ref"": 9588, ""promo"": null}"
142,李 Khan,18-Feb-2022 00:28:45,never,,"$106,223",france,李32@hotmail.com,+44 8549 822749,"$21,012.52",email,Yes,-87.642998,58.873454,Great service!,"P452,P300,P305,P755",4,,"{""ref"": 8657, ""promo"": ""C""}"
236,O'Neil Khan,2022/03/15,25-Oct-2024,unknown,"$78,190",Brasil,oneil40@company.co.uk,0803149982,$124.16,E-mail,TRUE,-82.918163,-136.040431,Great service!,"P856,P620,P636,P969",2,Y,"{""ref"": 8491, ""promo"": ""B""}"
491,Sara García,04-05-23,never,77,"$26,742",United Kingdom,sara59@example.com,(862) 675-1199,$104.87,—,0,9999,9999,   spaced out   ,"P418,P214,P726,P512",1,Y,"{""ref"": 4384, ""promo"": ""C""}"
186,Diana Khan,27/11/2023,2025/02/25,unknown,"$46,194",United States,diana90@example.com,0454 107 272,$170.63,,1,9999,9999,REF: 000123,"P564,",5,Y,"{""ref"": 1871, ""promo"": null}"
